"House Name","House Letter","Sample Number","Sample Date","Sample Time","Copper Result","Iron Result","Lead Result"
8,"x","DS03x","2016-02-07","12:32",1.42,80,0.5
8,"x","S01x","2016-02-07","12:21",162,80,1.61
8,"x","S02x","2016-02-07","12:21",13.3,80,3.48
8,"x","S03x","2016-02-07","12:21",28.9,316,23.2
8,"x","S04x","2016-02-07","12:21",23,375,25.8
8,"x","S05x","2016-02-07","12:21",16.4,191,13.2
8,"x","S06x","2016-02-07","12:21",11.5,128,8.7
8,"x","S07x","2016-02-07","12:21",7.09,96.1,6.62
8,"x","S08x","2016-02-07","12:21",6.35,82.5,5.39
8,"x","S09x","2016-02-07","12:21",5.53,80,4.54
8,"x","S10x","2016-02-07","12:21",4.59,80,4.49
8,"x","S11x","2016-02-07","12:21",4.01,91,4.53
8,"x","S12x","2016-02-07","12:21",3.98,80,2.85
8,"x","S13x","2016-02-07","12:21",3.54,80,2.59
8,"x","S14x","2016-02-07","12:21",3.53,80,2.56
15,"av","DS03av","2016-02-10","11:14",1.3,80,0.729
15,"av","S01av","2016-02-10","11:02",23.1,80,2.21
15,"av","S02av","2016-02-10","11:02",8.14,80,2.31
15,"av","S03av","2016-02-10","11:02",4.5,80,1.03
15,"av","S04av","2016-02-10","11:02",15.1,80,1.36
15,"av","S05av","2016-02-10","11:02",3.11,80,1.15
15,"av","S06av","2016-02-10","11:02",2.68,80,1.14
15,"av","S07av","2016-02-10","11:02",15.2,80,2.29
15,"av","S08av","2016-02-10","11:02",4.47,80,4.44
15,"av","S09av","2016-02-10","11:02",2.25,80,3.18
15,"av","S10av","2016-02-10","11:02",1.87,80,1.37
15,"av","S11av","2016-02-10","11:02",1.78,80,0.88
15,"av","S12av","2016-02-10","11:02",1.8,80,0.868
15,"av","S13av","2016-02-10","11:02",1.62,80,0.811
15,"av","S14av","2016-02-10","11:02",1.56,80,0.82
17,"ck","DS03ck","2016-02-19","08:19",5.37,80,0.5
17,"ck","S01ck","2016-02-19","08:12",146,179,2.11
17,"ck","S02ck","2016-02-19","08:12",107,80,1.08
17,"ck","S03ck","2016-02-19","08:12",218,541,25.1
17,"ck","S04ck","2016-02-19","08:12",183,552,13.5
17,"ck","S05ck","2016-02-19","08:12",67.9,168,4.92
17,"ck","S06ck","2016-02-19","08:12",45.4,121,2.43
17,"ck","S07ck","2016-02-19","08:12",29.8,94.5,1.74
17,"ck","S08ck","2016-02-19","08:12",24.4,81,1.29
17,"ck","S09ck","2016-02-19","08:12",23,80,1.65
17,"ck","S10ck","2016-02-19","08:12",19.7,80,0.938
17,"ck","S11ck","2016-02-19","08:12",17.7,80,0.872
17,"ck","S12ck","2016-02-19","08:12",14.4,80,0.742
17,"ck","S13ck","2016-02-19","08:12",13.4,80,0.669
17,"ck","S14ck","2016-02-19","08:12",13.2,80,0.646
25,"s","DS03s","2016-02-04","09:05",2.11,80,0.5
25,"s","S01s","2016-02-04","09:05",68.7,80,1.64
25,"s","S02s","2016-02-04","09:05",65.2,80,2
25,"s","S03s","2016-02-04","09:05",75.9,278,35.8
25,"s","S04s","2016-02-04","09:05",34.8,149,13.1
25,"s","S05s","2016-02-04","09:05",20.6,82.8,6.95
25,"s","S06s","2016-02-04","09:05",16.4,80,4.31
25,"s","S07s","2016-02-04","09:05",14.1,80,3.21
25,"s","S08s","2016-02-04","09:05",11.7,80,2.21
25,"s","S09s","2016-02-04","09:05",9.63,80,1.71
25,"s","S10s","2016-02-04","09:05",8.32,80,1.61
25,"s","S11s","2016-02-04","09:05",8.63,80,2.53
25,"s","S12s","2016-02-04","09:05",6.79,80,1.35
25,"s","S13s","2016-02-04","09:05",5.73,80,0.886
25,"s","S14s","2016-02-04","09:05",6.2,80,0.811
27,"bj","DS03bj","2016-02-16","07:28",2.2,156,1.4
27,"bj","S01bj","2016-02-16","07:15",43.1,212,11.5
27,"bj","S02bj","2016-02-16","07:15",10.9,95,6.8
27,"bj","S03bj","2016-02-16","07:15",10.9,59,5.4
27,"bj","S04bj","2016-02-16","07:15",8.7,57,4.5
27,"bj","S05bj","2016-02-16","07:15",9.1,68,4.5
27,"bj","S06bj","2016-02-16","07:15",7.3,68,4.2
27,"bj","S07bj","2016-02-16","07:15",8.7,62,4.5
27,"bj","S08bj","2016-02-16","07:15",5.9,72,5.2
27,"bj","S09bj","2016-02-16","07:15",4.3,67,7.1
27,"bj","S10bj","2016-02-16","07:15",3.4,66,8.6
27,"bj","S11bj","2016-02-16","07:15",3,69,9.8
27,"bj","S12bj","2016-02-16","07:15",3.8,77,10.1
27,"bj","S13bj","2016-02-16","07:15",3.4,81,9.7
27,"bj","S14bj","2016-02-16","07:15",2.3,83,8
32,"ci","DS03ci","2016-02-18","16:55",2.88,80,0.5
32,"ci","S01ci","2016-02-18","16:50",75.9,80,3.22
32,"ci","S02ci","2016-02-18","16:50",51.9,80,7.94
32,"ci","S03ci","2016-02-18","16:50",111,504,212
32,"ci","S04ci","2016-02-18","16:50",157,727,206
32,"ci","S05ci","2016-02-18","16:50",130,594,119
32,"ci","S06ci","2016-02-18","16:50",126,476,112
32,"ci","S07ci","2016-02-18","16:50",91.6,344,81.7
32,"ci","S08ci","2016-02-18","16:50",63.2,240,55.8
32,"ci","S09ci","2016-02-18","16:50",49.8,188,54.4
32,"ci","S10ci","2016-02-18","16:50",37.4,143,34.4
32,"ci","S11ci","2016-02-18","16:50",30.3,140,29.8
32,"ci","S12ci","2016-02-18","16:50",28.2,113,27.4
32,"ci","S13ci","2016-02-18","16:50",23.8,99.5,23.1
32,"ci","S14ci","2016-02-18","16:50",22.8,89,20.4
37,"ad","DS03ad","2016-02-08","13:15",7.9,100,0.5
37,"ad","S01ad","2016-02-08","13:07",97,100,0.5
37,"ad","S02ad","2016-02-08","13:07",200,100,2.8
37,"ad","S03ad","2016-02-08","13:07",240,100,3.9
37,"ad","S04ad","2016-02-08","13:07",120,100,3
37,"ad","S05ad","2016-02-08","13:07",79,100,2.1
37,"ad","S06ad","2016-02-08","13:07",61,100,1.5
37,"ad","S07ad","2016-02-08","13:07",54,100,1.3
37,"ad","S08ad","2016-02-08","13:07",38,100,1.2
37,"ad","S09ad","2016-02-08","13:07",34,100,0.88
37,"ad","S10ad","2016-02-08","13:07",31,100,0.82
37,"ad","S11ad","2016-02-08","13:07",31,100,0.64
37,"ad","S12ad","2016-02-08","13:07",22,100,0.62
37,"ad","S13ad","2016-02-08","13:07",17,100,0.5
37,"ad","S14ad","2016-02-08","13:07",16,100,0.54
38,"bg","DS03bg","2016-02-12","15:41",7,80.7,0.5
38,"bg","S01bg","2016-02-12","15:32",127,80,10.7
38,"bg","S02bg","2016-02-12","15:32",167,80,11.6
38,"bg","S03bg","2016-02-12","15:32",395,457,173
38,"bg","S04bg","2016-02-12","15:32",297,328,136
38,"bg","S05bg","2016-02-12","15:32",188,174,48.9
38,"bg","S06bg","2016-02-12","15:32",212,124,37.8
38,"bg","S07bg","2016-02-12","15:32",114,102,27.5
38,"bg","S08bg","2016-02-12","15:32",75.4,80,15
38,"bg","S09bg","2016-02-12","15:32",41.1,80,1.32
38,"bg","S10bg","2016-02-12","15:32",35.6,80,0.606
38,"bg","S11bg","2016-02-12","15:32",39.8,80,0.578
38,"bg","S12bg","2016-02-12","15:32",47.4,80,0.704
38,"bg","S13bg","2016-02-12","15:32",34.3,80,0.526
38,"bg","S14bg","2016-02-12","15:32",33.7,80,0.5
41,"aw","DS03aw","2016-02-11","07:20",10.3,248,0.725
41,"aw","S01aw","2016-02-11","07:08",74.6,127,2.62
41,"aw","S02aw","2016-02-11","07:08",144,131,5.44
41,"aw","S03aw","2016-02-11","07:08",109,279,12.9
41,"aw","S04aw","2016-02-11","07:08",75.1,209,6.52
41,"aw","S05aw","2016-02-11","07:08",61.7,178,3.89
41,"aw","S06aw","2016-02-11","07:08",47.3,159,2.2
41,"aw","S07aw","2016-02-11","07:08",45.4,158,1.87
41,"aw","S08aw","2016-02-11","07:08",41.4,164,1.58
41,"aw","S09aw","2016-02-11","07:08",27.5,209,1.4
41,"aw","S10aw","2016-02-11","07:08",19.1,232,1.49
41,"aw","S11aw","2016-02-11","07:08",16.9,242,1.37
41,"aw","S12aw","2016-02-11","07:08",16.9,235,1.36
41,"aw","S13aw","2016-02-11","07:08",14.9,226,1.13
41,"aw","S14aw","2016-02-11","07:08",14.6,229,1.1
44,"ac","DS03ac","2016-02-08","11:39",18,100,3.8
44,"ac","S01ac","2016-02-08","11:30",140,100,2.7
44,"ac","S02ac","2016-02-08","11:30",110,100,3.4
44,"ac","S03ac","2016-02-08","11:30",190,100,6.2
44,"ac","S04ac","2016-02-08","11:30",110,100,0.5
44,"ac","S05ac","2016-02-08","11:30",41,100,0.5
44,"ac","S06ac","2016-02-08","11:30",42,100,0.5
44,"ac","S07ac","2016-02-08","11:30",41,100,0.5
44,"ac","S08ac","2016-02-08","11:30",37,100,0.5
44,"ac","S09ac","2016-02-08","11:30",33,100,0.5
44,"ac","S10ac","2016-02-08","11:30",33,100,0.5
44,"ac","S11ac","2016-02-08","11:30",32,100,0.5
44,"ac","S12ac","2016-02-08","11:30",30,100,0.5
44,"ac","S13ac","2016-02-08","11:30",32,100,0.5
44,"ac","S14ac","2016-02-08","11:30",31,100,0.5
45,"y","DS03y","2016-02-07","08:17",5.62,147,0.5
45,"y","S01y","2016-02-07","08:09",34.1,80,0.5
45,"y","S02y","2016-02-07","08:09",13.5,80,0.5
45,"y","S03y","2016-02-07","08:09",32.4,80,0.5
45,"y","S04y","2016-02-07","08:09",35.8,80,0.5
45,"y","S05y","2016-02-07","08:09",34.9,80,0.5
45,"y","S06y","2016-02-07","08:09",29.8,80,0.5
45,"y","S07y","2016-02-07","08:09",26.7,80,0.5
45,"y","S08y","2016-02-07","08:09",23.6,80,0.5
45,"y","S09y","2016-02-07","08:09",23.2,84.4,0.5
45,"y","S10y","2016-02-07","08:09",20.8,90.9,0.5
45,"y","S11y","2016-02-07","08:09",20.7,265,0.5
45,"y","S12y","2016-02-07","08:09",15.7,366,0.5
45,"y","S13y","2016-02-07","08:09",7.47,168,0.5
45,"y","S14y","2016-02-07","08:09",6.7,159,0.5
49,"bs","DS03bs","2016-02-16","10:23",3.1,50,2.1
49,"bs","S01bs","2016-02-16","10:07",72.4,50,1.1
49,"bs","S02bs","2016-02-16","10:07",64.1,111,2.9
49,"bs","S03bs","2016-02-16","10:07",23.6,105,13
49,"bs","S04bs","2016-02-16","10:07",35,58,2.7
49,"bs","S05bs","2016-02-16","10:07",177,722,133
49,"bs","S06bs","2016-02-16","10:07",122,679,133
49,"bs","S07bs","2016-02-16","10:07",24,294,47.5
49,"bs","S08bs","2016-02-16","10:07",11.1,136,29.9
49,"bs","S09bs","2016-02-16","10:07",7.8,128,15.7
49,"bs","S10bs","2016-02-16","10:07",7.2,115,16
49,"bs","S11bs","2016-02-16","10:07",7.2,222,172
49,"bs","S12bs","2016-02-16","10:07",10.4,691,693
49,"bs","S13bs","2016-02-16","10:07",7.3,357,327
49,"bs","S14bs","2016-02-16","10:07",6.5,207,190
54,"ai","DS01ai","2016-02-09","14:55",3.5,1100,0.72
54,"ai","S01ai","2016-02-09","14:49",72,200,8.3
54,"ai","S02ai","2016-02-09","14:49",48,260,6.5
54,"ai","S03ai","2016-02-09","14:49",19,180,5.1
54,"ai","S04ai","2016-02-09","14:49",25,190,5.6
54,"ai","S05ai","2016-02-09","14:49",27,150,4.6
54,"ai","S06ai","2016-02-09","14:49",27,150,4.3
54,"ai","S07ai","2016-02-09","14:49",26,180,4.7
54,"ai","S08ai","2016-02-09","14:49",25,220,5.1
54,"ai","S09ai","2016-02-09","14:49",23,640,15
54,"ai","S10ai","2016-02-09","14:49",20,3600,56
54,"ai","S11ai","2016-02-09","14:49",18,9100,79
54,"ai","S12ai","2016-02-09","14:49",14,6000,37
54,"ai","S13ai","2016-02-09","14:49",11,1400,4.8
54,"ai","S14ai","2016-02-09","14:49",10,990,1.5
61,"bf","DS03bf","2016-02-13","09:15",3.1,80,1.69
61,"bf","S010bf","2016-02-13","09:07",5.25,80,6.44
61,"bf","S011bf","2016-02-13","09:07",5.05,106,6.89
61,"bf","S012bf","2016-02-13","09:07",4.63,102,5.36
61,"bf","S013bf","2016-02-13","09:07",4.34,80,2.37
61,"bf","S014bf","2016-02-13","09:07",4.34,80,2.15
61,"bf","S01bf","2016-02-13","09:07",114,80,4.24
61,"bf","S02bf","2016-02-13","09:07",210,80,7.1
61,"bf","S03bf","2016-02-13","09:07",70.2,80,6.74
61,"bf","S04bf","2016-02-13","09:07",22.4,80,4.7
61,"bf","S05bf","2016-02-13","09:07",14.9,80,5.3
61,"bf","S06bf","2016-02-13","09:07",9.49,80,3.28
61,"bf","S07bf","2016-02-13","09:07",7.51,80,3.58
61,"bf","S08bf","2016-02-13","09:07",6.25,80,4.15
61,"bf","S09bf","2016-02-13","09:07",5.8,80,4.78
62,"ah","DS03ah","2016-02-09","10:24",7.7,570,1.6
62,"ah","S01ah","2016-02-09","10:15",240,140,72
62,"ah","S02ah","2016-02-09","10:15",220,100,8
62,"ah","S03ah","2016-02-09","10:15",200,180,16
62,"ah","S04ah","2016-02-09","10:15",140,150,8
62,"ah","S05ah","2016-02-09","10:15",72,110,5.2
62,"ah","S06ah","2016-02-09","10:15",63,100,5.3
62,"ah","S07ah","2016-02-09","10:15",49,100,4.9
62,"ah","S08ah","2016-02-09","10:15",23,100,4.4
62,"ah","S09ah","2016-02-09","10:15",15,100,3.8
62,"ah","S10ah","2016-02-09","10:15",15,100,5.2
62,"ah","S11ah","2016-02-09","10:15",15,100,11
62,"ah","S12ah","2016-02-09","10:15",11,100,14
62,"ah","S13ah","2016-02-09","10:15",10,100,15
62,"ah","S14ah","2016-02-09","10:15",10,220,10
63,"cc","DS03cc","2016-02-18","07:18",2,80,1
63,"cc","S01cc","2016-02-18","07:13",162,80,5.61
63,"cc","S02cc","2016-02-18","07:13",104,92,14
63,"cc","S03cc","2016-02-18","07:13",34,304,20.6
63,"cc","S04cc","2016-02-18","07:13",31.2,320,25.1
63,"cc","S05cc","2016-02-18","07:13",19,194,17
63,"cc","S06cc","2016-02-18","07:13",17,168,14.9
63,"cc","S07cc","2016-02-18","07:13",14.8,180,14.4
63,"cc","S08cc","2016-02-18","07:13",13.1,164,13.3
63,"cc","S09cc","2016-02-18","07:13",12.3,148,14.2
63,"cc","S10cc","2016-02-18","07:13",12.7,137,12.9
63,"cc","S11cc","2016-02-18","07:13",13.2,124,14.1
63,"cc","S12cc","2016-02-18","07:13",14.9,125,13.9
63,"cc","S13cc","2016-02-18","07:13",16.3,190,13
63,"cc","S14cc","2016-02-18","07:13",13.2,156,9.84
74,"b","DS03b","2016-01-28","15:45",8.42,80,0.5
74,"b","S01b","2016-01-28","15:33",190,80,1.41
74,"b","S02b","2016-01-28","15:33",493,80,0.923
74,"b","S03b","2016-01-28","15:33",310,80,1.47
74,"b","S04b","2016-01-28","15:33",222,80,1.97
74,"b","S05b","2016-01-28","15:33",165,81.1,2.68
74,"b","S06b","2016-01-28","15:33",45,181,1.69
74,"b","S07b","2016-01-28","15:33",17.7,150,0.964
74,"b","S08b","2016-01-28","15:33",16.2,251,1.04
74,"b","S09b","2016-01-28","15:33",17.8,189,2.39
74,"b","S10b","2016-01-28","15:33",25.3,94.6,7.1
74,"b","S11b","2016-01-28","15:33",16,80,4.7
74,"b","S12b","2016-01-28","15:33",12.8,80,1.08
74,"b","S13b","2016-01-28","15:33",11.8,80,0.514
74,"b","S14b","2016-01-28","15:33",10.8,80,0.5
79,"u","DS03u","2016-02-05","15:20",8.83,80,4.62
79,"u","S01u","2016-02-05","15:10",123,80,28
79,"u","S02u","2016-02-05","15:10",106,80,10
79,"u","S03u","2016-02-05","15:10",103,157,56.2
79,"u","S04u","2016-02-05","15:10",116,133,44.7
79,"u","S05u","2016-02-05","15:10",149,143,48.4
79,"u","S06u","2016-02-05","15:10",171,195,79.4
79,"u","S07u","2016-02-05","15:10",127,124,75.1
79,"u","S08u","2016-02-05","15:10",58.4,87.3,38.4
79,"u","S09u","2016-02-05","15:10",40.7,80,29.6
79,"u","S10u","2016-02-05","15:10",33.1,80,25.9
79,"u","S11u","2016-02-05","15:10",25.9,80,25
79,"u","S12u","2016-02-05","15:10",21.1,80,22.3
79,"u","S13u","2016-02-05","15:10",19.2,80,21.3
79,"u","S14u","2016-02-05","15:10",17.5,80,21
80,"f","DS03f","2016-01-30","10:34",106,80,3
80,"f","S01f","2016-01-30","10:12",134,111,12.4
80,"f","S02f","2016-01-30","10:12",119,80,7.85
80,"f","S03f","2016-01-30","10:12",87.2,385,17.3
80,"f","S04f","2016-01-30","10:12",58.1,152,12.6
80,"f","S05f","2016-01-30","10:12",44,111,10.4
80,"f","S06f","2016-01-30","10:12",39.6,81.8,8.89
80,"f","S07f","2016-01-30","10:12",57.9,80,8.41
80,"f","S08f","2016-01-30","10:12",36.2,80,8.25
80,"f","S09f","2016-01-30","10:12",42.9,80,8.1
80,"f","S10f","2016-01-30","10:12",47.4,80,8.12
80,"f","S11f","2016-01-30","10:12",39.8,80,7.87
80,"f","S12f","2016-01-30","10:12",43.5,80,8.09
80,"f","S13f","2016-01-30","10:12",50.2,80,9.36
80,"f","S14f","2016-01-30","10:21",52.1,80,9.62
81,"d","S01d","2016-01-28","18:35",47.2,80,1.19
81,"d","S02d","2016-01-28","18:35",56.4,80,11
81,"d","S03d","2016-01-28","18:35",39.7,80,5.77
81,"d","S04d","2016-01-28","18:35",26.9,80,4.78
81,"d","S05d","2016-01-28","18:35",16,80,4
81,"d","S06d","2016-01-28","18:35",12.8,80,2.45
81,"d","S07d","2016-01-28","18:35",11.6,80,1.81
81,"d","S08d","2016-01-28","18:35",10.1,80,1.71
81,"d","S09d","2016-01-28","18:35",10.5,80,1.74
81,"d","S10d","2016-01-28","18:35",12.8,149,1.54
81,"d","S11d","2016-01-28","18:35",22.3,571,1.76
81,"d","S12d","2016-01-28","18:35",32.6,1110,1.72
81,"d","S13d","2016-01-28","18:35",17.5,645,2.39
81,"d","S14d","2016-01-28","18:39",12.2,185,1.4
81,"d","DS03d","2016-01-28","18:45",6.01,80,0.692
83,"v","DS03v","2016-02-05","13:23",8.45,112,1.44
83,"v","S01v","2016-02-05","13:13",137,150,1.23
83,"v","S02v","2016-02-05","13:13",205,106,2.23
83,"v","S03v","2016-02-05","13:13",208,161,1.77
83,"v","S04v","2016-02-05","13:13",179,223,0.715
83,"v","S05v","2016-02-05","13:13",63.3,252,0.647
83,"v","S06v","2016-02-05","13:13",111,201,9.07
83,"v","S07v","2016-02-05","13:13",152,261,13.4
83,"v","S08v","2016-02-05","13:13",59.2,180,6.07
83,"v","S09v","2016-02-05","13:13",21.2,125,3.24
83,"v","S10v","2016-02-05","13:13",18.9,117,3.39
83,"v","S11v","2016-02-05","13:13",22,121,2.86
83,"v","S12v","2016-02-05","13:13",16.4,116,3.19
83,"v","S13v","2016-02-05","13:13",14.2,125,2.21
83,"v","S14v","2016-02-05","13:13",13.1,128,2.18
84,"bb","DS03bb","2016-02-12","09:35",5.98,258,0.5
84,"bb","S01bb","2016-02-12","09:23",221,183,2.04
84,"bb","S02bb","2016-02-12","09:23",308,149,1.97
84,"bb","S03bb","2016-02-12","09:23",1120,3380,110
84,"bb","S04bb","2016-02-12","09:23",961,3260,77.4
84,"bb","S05bb","2016-02-12","09:23",415,1400,29.6
84,"bb","S06bb","2016-02-12","09:23",246,839,16.4
84,"bb","S07bb","2016-02-12","09:23",163,627,15.7
84,"bb","S08bb","2016-02-12","09:23",139,517,9.12
84,"bb","S09bb","2016-02-12","09:23",181,499,8.54
84,"bb","S10bb","2016-02-12","09:23",117,392,6.81
84,"bb","S11bb","2016-02-12","09:23",83.5,345,5.4
84,"bb","S12bb","2016-02-12","09:23",73.4,450,5.71
84,"bb","S13bb","2016-02-12","09:23",69.1,428,7.2
84,"bb","S14bb","2016-02-12","09:23",69.7,426,4.56
86,"h","DS03h","2016-02-01","09:42",8.02,214,0.5
86,"h","S01h","2016-02-01","09:23",88.6,80,0.725
86,"h","S02h","2016-02-01","09:23",82.4,80,2.77
86,"h","S03h","2016-02-01","09:23",91.2,89.5,2.97
86,"h","S04h","2016-02-01","09:23",62.1,80.7,1.63
86,"h","S05h","2016-02-01","09:23",35.8,80,1.3
86,"h","S06h","2016-02-01","09:23",26.8,80,0.907
86,"h","S07h","2016-02-01","09:23",24.1,80,0.76
86,"h","S08h","2016-02-01","09:23",23.2,80,0.713
86,"h","S09h","2016-02-01","09:23",22.9,80,0.717
86,"h","S10h","2016-02-01","09:23",18.3,80,0.601
86,"h","S11h","2016-02-01","09:23",16,80,0.563
86,"h","S12h","2016-02-01","09:23",12.4,159,0.558
86,"h","S13h","2016-02-01","09:23",10.3,194,0.535
86,"h","S14h","2016-02-01","09:23",10.4,181,0.641
88,"ct","DS03ct","2016-02-20","07:20",1,80,0.581
